업종,상호명,대표자,소재지도로명주소,소재지지번주소,위도,경도,전화번호,기준일
미용업,모아헤어,이은숙,"수원시 장안구 화산로 285번길 12, 화남아파트상가 102호(율전동)",경기도 수원시 장안구 율전동 334-13 화남아파트,37.3002692,126.9645072,031-295-4005,2025-03-18
미용업,현대미용실,이도화,수원시 장안구 파장로 68번길 12(파장동),경기도 수원시 장안구 파장동 582-24,37.3064701,126.993218,031-252-9986,2025-03-18
목욕업,성일사우나,최이성,수원시 장안구 경수대로973번길 13-20(송죽동),경기도 수원시 장안구 송죽동 496-23,37.3031002,127.005031,031-246-6489,2025-03-18
세탁업,크린크린세탁소,조영철,수원시 장안구 파장천로 12번길 36(파장동),경기도 수원시 장안구 파장동 591-5,37.3059408,126.9959953,031-244-8418,2025-03-18
한식,진천생고기,진수진,수원시 장안구 정조로934번길 25(영화동),경기도 수원시 장안구 영화동 293-38 풍천민물장어,37.2916844,127.0139945,031-256-3074,2025-03-18
기타요식업,카페해피타임,이민종,"수원시 장안구 수성로261번길 75, 1층(정자동)",경기도 수원시 장안구 정자동 43-29,37.2928478,126.9986564,031-271-1280,2025-03-18
한식,정가네손칼국수,이기준,"수원시 장안구 장안로75번길 52-2, 102호(정자동)",경기도 수원시 장안구 정자동 74-52,37.2903241,127.000137,031-252-9696,2025-03-18
한식,똘똘이네M카페,유명화,수원시 권선구 고색로 54번길66(고색동),경기도 수원시 권선구 고색동 299-8,37.2474241,126.9837744,031-278-5081,2025-03-18
한식,가능골식당,박윤임,수원시 권선구 세지로42번길49 (세류동),경기도 수원시 권선구 세류동 1082-9,37.2551798,127.0190755,031-223-1620,2025-03-18
한식,한우돈가,오숭성,수원시 권선구 효탑로 51(탑동),경기도 수원시 권선구 탑동 430-2,37.2680545,126.9728183,031-296-8592,2025-03-18
세탁업,정우세탁소,홍재도,수원시 권선구 당수로189(당수동),경기도 수원시 권선구 당수동 224-19,37.2909068,126.9441102,031-416-5326,2025-03-18
미용업,꽃씨미용실,정수진,수원시 권선구 금호로15번길12(금곡동),경기도 수원시 권선구 금곡동 245-68,37.269258,126.9536178,031-297-6106,2025-03-18
미용업,이은희헤어,이은희,수원시 권선구 세지로27번길13(세류동),경기도 수원시 권선구 세류동 1012-7,37.2549627,127.014865,,2025-03-18
미용업,서현대미용실,이광미,수원시 권선구 정조로576번길 3(세류동),경기도 수원시 권선구 세류동 162-15,37.2603966,127.0134505,031-232-6686,2025-03-18
목욕업,미영목욕탕,민영이,수원시 권선구 정조로 432(세류동),경기도 수원시 권선구 세류동 1147 미영아파트,37.2479523,127.0143328,031-236-5038,2025-03-18
목욕업,당수여성사우나,구인숙,수원시 권선구 당진로15번길 56(당수동),경기도 수원시 권선구 당수동 273-3 한스프라자,37.2920983,126.938977,031-419-9042,2025-03-18
한식,청명쭈꾸미철판구이,박인자,수원시 권선구 권중로56번길 48 (권선동),경기도 수원시 권선구 권선동 1254-3,37.2530194,127.0288239,031-239-7892,2025-03-18
한식,좋은고기,정경훈,수원시 권선구 세지로4번길 7-15(세류동),경기도 수원시 권선구 세류동 1112-7,37.2531536,127.0152292,031-233-7727,2025-03-18
한식,못골해장국,인용숙,"수원시 권선구 금호로246번길 15-4,  (탑동)",경기도 수원시 권선구 탑동 5-6,37.2749485,126.9773175,031-278-3493,2025-03-18
양식,스타마법요리,최재경,수원시 권선구 매실로53번길 19 (호매실동),경기도 수원시 권선구 호매실동 395-14,37.2686703,126.9562376,031-291-8485,2025-03-18
이용업,백천이발관,이희연,"수원시 권선구 세권로195번길 13, 105호 (권선동)",경기도 수원시 권선구 권선동 1050 권선종합상가,37.256025,127.025475,,2025-03-18
미용업,레미샵 붙임머리,임수영,"수원시 권선구 권선로 673, 거성빌딩 1층(권선동)",경기도 수원시 권선구 권선동 1019-9 거성빌딩,37.2599345,127.0252045,031-546-3432,2025-03-18
한식,영풍생고기,이진희,수원시 팔달구 권광로276번길 9(인계동),경기도 수원시 팔달구 인계동 371-1 삼성아파트,37.2717415,127.0366581,031-214-3326,2025-03-18
한식,푸드맘(교동점),박철현, 수원시 팔달구 매산로 128(교동),경기도 수원시 팔달구 교동 132-4,37.2717437,127.0147535,031-236-6777,2025-03-18
한식,통큰칼국수,김재호,수원시 팔달구 중부대로17번길 14(영동),경기도 수원시 팔달구 영동 28-13,37.2759985,127.0188838,031-248-9464,2025-03-18
한식,일미닭갈비파전,이정호,수원시 팔달구 아주로 47번길 12 (우만동),경기도 수원시 팔달구 우만동 59,37.2792259,127.0430561,031-217-1242,2025-03-18
한식,남문순대국,김만선,수원시 팔달구 정조로791번길 5 (팔달로2가),경기도 수원시 팔달구 팔달로2가 87-1,37.2785414,127.0162817,031-245-8976,2025-03-18
한식,옛날손칼국수,손미정,수원시 팔달구 중부대로 36-1(인계동),경기도 수원시 팔달구 인계동 757-29,37.2751064,127.0208323,031-232-9298,2025-03-18
한식,모이세 분식,안성환,수원시 팔달구 팔달문로3번길 5(팔달로2가),경기도 수원시 팔달구 팔달로2가 47-11,37.2779073,127.0175922,031-245-1189,2025-03-18
한식,해운대 국밥,김나연,"수원시 팔달구 행궁로 106, 1층 (교동)",경기도 수원시 팔달구 교동 114-1,37.2731366,127.0158005,031-245-5582,2025-03-18
한식,착한칼국수,김수지,"수원시 팔달구 수원천로 258번길 13, 1층 (지동)",경기도 수원시 팔달구 지동 397-17,37.2765734,127.0203066,031-252-3359,2025-03-18
미용업,챠밍미용실,김보경,수원시 팔달구 매산로 101(교동),경기도 수원시 팔달구 교동 49-10,37.2707721,127.0118183,031-257-3733,2025-03-18
기타비요식업,착한사진관,남윤학,"수원시 팔달구 동말로 72, 나동 2층(화서동)",경기도 수원시 팔달구 화서동 97-1 화서상가,37.2785721,127.0020936,031-248-6801,2025-03-18
한식,푸딩김밥,이태우,수원시 팔달구 세지로 421 (우만동),경기도 수원시 팔달구 우만동 494-2,37.2865016,127.0307043,031-254-2567,2025-03-18
한식,순보리네식당,정순자,수원시 팔달구 장다리로 163 (인계동),경기도 수원시 팔달구 인계동 1010-11,37.2645635,127.0237341,031-225-5464,2025-03-18
미용업,다모아헤어샵,유종금,수원시 팔달구 매산로 2-10(매산로1가) 역전시장 229호,경기도 수원시 팔달구 매산로1가 57-3 역전시장,37.2663016,127.0023389,031-245-9133,2025-03-18
한식,홍두깨,박시현,수원시 팔달구 정조로758번길 21 (영동),경기도 수원시 팔달구 영동 13-4,37.2757912,127.0180435,031-247-3351,2025-03-18
한식,백천홍두깨칼국수,정혜영,수원시 팔달구 수원천로 264번길 21-11 (지동),경기도 수원시 팔달구 지동 400-8,37.2774127,127.019896,070-7559-1261,2025-03-18
한식,마포생고기,김영애,수원시 팔달구 향교로 132-1 (교동),경기도 수원시 팔달구 교동 93-3,37.2726416,127.014706,031-255-1264,2025-03-18
양식,셰프스위트,김동년,수원시 팔달구 정조로801번길 27(남창동),경기도 수원시 팔달구 남창동 78,37.2799694,127.0151177,031-242-6898,2025-03-18
일식,츠요이,김동년,수원시 팔달구 정조로801번길 27(남창동),경기도 수원시 팔달구 남창동 78,37.2799694,127.0151177,031-252-6898,2025-03-18
기타요식업,미소레,이병석,"수원시 팔달구 매산로1가 17 역전지하상가 나열 8,9,10호(매산로1가)",경기도 수원시 팔달구 매산로1가 17,37.2695023,126.9984709,031-247-9449,2025-03-18
한식,분식나라 김밥마을,김금자,수원시 영통구 덕영대로 1699(영통동),경기도 수원시 영통구 영통동 1024-7 영통빌딩,37.247974,127.0770925,031-206-0599,2025-03-18
한식,뚱가네,조은자,수원시 영통구 영통로 217번길5(영통동),경기도 수원시 영통구 영통동 978-6,37.2466737,127.0565997,031-234-5208,2025-03-18
한식,국수촌,유선환,수원시 영통구 매여울로53번길 63-2(매탄동),경기도 수원시 영통구 매탄동 172-61,37.2726669,127.0411348,031-213-5033,2025-03-18
한식,늘푸른밥상,김영태,수원시 영통구 매봉로27번길 28(매탄동),경기도 수원시 영통구 매탄동 111-98,37.2709832,127.0511031,031-217-0235,2025-03-18
한식,경성89,송은경,"수원시 영통구 법조로 25, 광교 SK뷰레이크근린생활동2층 203,204,205호(하동)",경기도 수원시 영통구 하동 1016-1 광교 SK VIEW Lake,37.2874971,127.0602549,031-212-7878,2025-03-18
미용업,에덴헤어,오경숙,"수원시 영통구 인계로 239,상가지하1층1호(매탄동,매탄성일아파트)",경기도 수원시 영통구 매탄동 810-4 매탄성일아파트,37.2653931,127.0438949,031-211-5777,2025-03-18
미용업,솜씨좋은 헤어샵,민경복,수원시 영통구 동수원로 537번길 57(원천동),경기도 수원시 영통구 원천동 28-25,37.2748295,127.0458796,031-212-9700,2025-03-18
이용업,명성이발관,박용각,수원시 영통구 매여울로57번길 40(매탄동),경기도 수원시 영통구 매탄동 153-161,37.2736712,127.042215,031-215-7564 ,2025-03-18
미용업,엠제이헤어,강민희,"수원시 영통구 영통로174번길 43-8,(망포동, 백년빌딩)",경기도 수원시 영통구 망포동 334-4,37.2435001,127.0581205,031-206-5660,2025-03-18
이용업,멋진남자,문병철,"수원시 영통구 매봉로35번길 50, 1층(매탄동)",경기도 수원시 영통구 매탄동 111-10,37.2719914,127.0501345,,2025-03-18
기타요식업,도톰,박희재,"수원시 영통구 중부대로256번길 48, 1층 일부호(매탄동)",경기도 수원시 영통구 매탄동 172-88,37.2726508,127.042751,031-213-3536,2025-03-18
세탁업,빨래터세탁소,배양수,"수원시 영통구 동탄원천로 915번길 36, 104호(매탄동)",경기도 수원시 영통구 매탄동 1277 주공그린빌,37.2568042,127.0444693,031-216-8939,2025-03-18
기타요식업,붕붕샐러드,박슬기,수원시 영통구 신원로 146(신동),경기도 수원시 영통구 신동 340-7,37.2494864,127.0570273,031-206-9891,2025-03-18
기타요식업,언니네 커피,문숙진,"수원시 영통구 신원로 88, 104동 113호(신동)",경기도 수원시 영통구 신동 486 디지털엠파이어2,37.2474698,127.0503626,031-695-5928,2025-03-18
한식,장터밥상,임경애,수원시 영통구 반달로46(영통동),경기도 수원시 영통구 영통동 1005-7,37.2501477,127.0767011,031-203-4846,2025-03-18
기타요식업,조이커피샌드위치,김영선,"수원시 영통구 영통로 169, 1층(망포동)",경기도 수원시 영통구 망포동 297-8,37.2426536,127.0550022,031-204-0705,2025-03-18
기타요식업,요거트산토커피,박유경,"수원시 영통구 도청로 95, 알파동b1-109호(이의동)",경기도 수원시 영통구 이의동 1351-6 광교유니코어,37.2909056,127.0477286,,2025-03-18
기타요식업,커피9,김상구,"수원시 장안구 화산로203번길 34, 1층 2호 (율전동)",경기도 수원시 장안구 율전동 276-4 천록아파트,37.2980855,126.9736637,031-306-3939,2025-03-18
세탁업,벽산세탁소,안미숙,"수원시 장안구 파장로 53, 108호 (정자동)",경기도 수원시 장안구 정자동 423-1 정자 벽산블루밍,37.3048401,126.9946605,031-245-1269,2025-03-18
한식,(장안)전주콩나물국밥,이경자,수원시 장안구 조원로 89번길 31 (조원동),경기도 수원시 장안구 조원동 766-11,37.2998649,127.0145522,031-251-1174,2025-03-18
한식,가람,문연자, 수원시 팔달구 매산로20번길 21 (매산로2가) 103호,경기도 수원시 팔달구 매산로2가 97-21,37.2665033,127.0033591,031-245-3695,2025-03-18
한식,강릉장칼국수,홍사종, 수원시 팔달구 수원천로 314 (남수동) 1층,경기도 수원시 팔달구 남수동 72-1,37.2814512,127.0185721,031-241-7959,2025-03-18
한식,금자칼국수,우광자," 수원시 권선구 세권로 185 (권선동) 173, 174호",경기도 수원시 권선구 권선동 1051,37.2560685,127.0247128,031-235-1237,2025-03-18
한식,넘버원김밥,정은주, 수원시 권선구 세권로 185 (권선동) 168호,경기도 수원시 권선구 권선동 1051,37.2560685,127.0247128,031-234-9333,2025-03-18
기타요식업,마음(MAUM),박은이, 수원시 영통구 매영로 87 (매탄동) 1층,경기도 수원시 영통구 매탄동 1215-8 진생빌딩,37.2680356,127.0524178,0507-1408-2019,2025-03-18
한식,만두가게,유재생, 수원시 팔달구 수원천로 315 (남수동) 1층,경기도 수원시 팔달구 남수동 130-2,37.2814828,127.0179216,031-251-3900,2025-03-18
기타요식업,미오스카페,이순원, 수원시 팔달구 창룡대로 23 (매향동) .,경기도 수원시 팔달구 매향동 49 수원시 팔달구청,37.2825695,127.0200976,0507-1382-0135,2025-03-18
기타요식업,에스커피,오성환," 수원시 팔달구 정조로758번길 9 (팔달로3가) 1,2호",경기도 수원시 팔달구 팔달로3가 28-5,37.2757837,127.0173708,031-242-9861,2025-03-18
기타요식업,요고트팜,이화진, 수원시 영통구 아주로 34 (원천동) 1층,경기도 수원시 영통구 원천동 22-1,37.2778541,127.0440683,031-306-0608,2025-03-18
한식,이화식당,김봉두, 수원시 팔달구 중부대로128번길 62 (인계동),경기도 수원시 팔달구 인계동 954-11,37.2755539,127.0290444,031-238-2097,2025-03-18
한식,착한설렁탕,정금순, 수원시 팔달구 장다리로 222 (인계동) 1층,경기도 수원시 팔달구 인계동 965-9,37.2695201,127.0262271,031-224-7316,2025-03-18
한식,천연석돌구이,김유순," 수원시 영통구 삼성로 274 (원천동) 지하1층 상가 27,30호",경기도 수원시 영통구 원천동 332-2 수원팩토리월드,37.2655388,127.0643859,031-213-3408,2025-03-18
기타요식업,카페레쟈망,이영숙," 수원시 팔달구 덕영대로 911, 지하 18호 (매산로1가)",경기도 수원시 팔달구 매산로1가 27-1 수원역지하도상가,37.2674077,127.0006663,031-241-0452,2025-03-18
한식,평화정육식당,지수현," 수원시 팔달구 동말로68번길 15 (화서동, 수정아파트) 화서시장 가동 1층",경기도 수원시 팔달구 화서동 97-2 수정아파트,37.2781858,127.002304,031-242-8292,2025-03-18
한식,항아리쭈꾸미,최상용, 수원시 영통구 덕영대로1556번길 16 (영통동) 170호,경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩,37.2452904,127.0591706,031-202-1208,2025-03-18
한식,황금족발순대국,김영순," 수원시 영통구 권광로260번길 36 (매탄동, 현대힐스테이트아파트) 106호",경기도 수원시 영통구 매탄동 176 현대힐스테이트아파트,37.2716966,127.0396241,031-217-7877,2025-03-18
한식,지동손칼국수,방향숙,수원시 팔달구 세지로 298-1(지동),경기도 수원시 팔달구 지동 123-91,37.2777495,127.023945,031-254-4236,2025-03-18
기타요식업,메종드커피,신재은,"수원시 팔달구 매산로 131, 1층(교동)",경기도 수원시 팔달구 교동 90-7,37.2721659,127.0147578,031-258-3545,2025-03-18
기타요식업,지동슈퍼,한경진,수원시 팔달구 창룡문로 75-2 (지동),경기도 수원시 팔달구 지동 270-13,37.2837869,127.0240261,0507-877-3373,2025-03-18
기타요식업,알뜰커피,염동진,수원시 팔달구 창룡대로 8(남수동),경기도 수원시 팔달구 남수동 130-14,37.2816808,127.0176621,0507-1481-0742,2025-03-18
한식,중앙국수,박춘자,"수원시 팔달구 팔달문로 7, 2층 (팔달로2가)",경기도 수원시 팔달구 팔달로2가 48-7,37.277687,127.0182582,031-255-6614,2025-03-18
한식,미랑,변상필,"수원시 장안구 만석로 181, 1층 (송죽동)",경기도 수원시 장안구 송죽동 272-22,37.3030431,126.9992862,031-255-7200,2025-03-18
목욕업,동남사우나,"황효순, 김성호",수원시 장안구 영화로 25번길 22 (영화동),경기도 수원시 장안구 영화동 418 태영아파트,37.2890635,127.0079545,031-243-6422,2025-03-18
미용업,블랙남성컷,최해주,"수원시 권선구 세권로 76, 105호(세류동)",경기도 수원시 권선구 세류동 526 경일아파트,37.2584291,127.0123204,031-234-7585,2025-03-18
기타비요식업,진이네강아지풀,진희은,"수원시 영통구 에듀타운로 102, A동 122호(이의동)",경기도 수원시 영통구 이의동 1348 광교중앙역 SK VIEW,37.2897827,127.0464151,0507-1365-5924,2025-03-18
한식,도담칡냉면,황교연, 수원시 장안구 수성로382번길 32-3 (영화동),경기도 수원시 장안구 영화동 292-1,37.2927131,127.0145211,031-247-0925,2025-03-18
미용업,렛츠헤어,김오순, 수원시 권선구 권광로27번길 51 (권선동) 1층,경기도 수원시 권선구 권선동 1194-4,37.2511111,127.0243842,,2025-03-18
기타요식업,로스터리 비엔티 카페 마슬,최연주, 수원시 영통구 산남로 26-13 (매탄동) 103호,경기도 수원시 영통구 매탄동 845-7,37.2650988,127.0492132,,2025-03-18
한식,수원칼국수,배미연, 수원시 영통구 태장로 81 (망포동) 103호,경기도 수원시 영통구 망포동 382-3 망포동 e-타운ll,37.2397865,127.0548346,031-205-2006,2025-03-18
기타비요식업,스튜디오 에이스,유경순, 수원시 권선구 세권로 135-1 (권선동),경기도 수원시 권선구 권선동 1000-5,37.2570567,127.0192615,031-233-2553,2025-03-18
한식,전주식당,남오복, 수원시 장안구 수성로382번길 38-11 (영화동),경기도 수원시 장안구 영화동 291-4 수원식당,37.2920395,127.0147885,031-244-1717,2025-03-18
기타비요식업,정사진실,정지선, 수원시 권선구 매실로 49 (호매실동) 1층,경기도 수원시 권선구 호매실동 389-1,37.2678483,126.9564171,031-296-1171,2025-03-18
목욕업,주향불한증사우나,"고남석, 민영이", 수원시 권선구 세지로 73 (세류동),경기도 수원시 권선구 세류동 862 웰빙프라자,37.2585977,127.0174269,031-222-9858,2025-03-18
한식,금촌샤브칼국수,유미라, 수원시 영통구 태장로 73 (망포동) 202호,경기도 수원시 영통구 망포동 378 정석 그린프라자,37.2393257,127.0543271,031-205-5636,2025-03-18
기타요식업,까페시모 우만점,윤정숙, 수원시 팔달구 경수대로656번길 37-22 (우만동) 1층,경기도 수원시 팔달구 우만동 505-12,37.2856314,127.0297361,031-304-0307,2025-03-18
기타요식업,꼼빠도르,서문계환," 수원시 팔달구 정조로 797-2 (팔달로2가) 101, 102호",경기도 수원시 팔달구 팔달로2가 101-1,37.2793281,127.0163533,031-243-0588,2025-03-18
미용업,박행님헤어샵,박행님, 수원시 영통구 신원로 107 (신동) 104호,경기도 수원시 영통구 신동 398-39,37.2481819,127.0533705,031-257-5944,2025-03-18
기타요식업,빵마루,김성완, 수원시 팔달구 세지로174번길 33 (인계동) 1층,경기도 수원시 팔달구 인계동 990-8,37.2665554,127.0237793,031-225-4507,2025-03-18
기타비요식업,새로나 스튜디오,이종운, 수원시 팔달구 덕영대로 899 (매산로1가) 101호,경기도 수원시 팔달구 매산로1가 11-9 세진브론즈빌,37.2681505,127.0003154,031-242-9484,2025-03-18
양식,샐러디치오도씨 수원성대점,창현주, 수원시 장안구 서부로2106번길 21 (율전동) 1층 4호,경기도 수원시 장안구 율전동 433-63 왕돈까스,37.2972733,126.9713749,0507-1468-1401,2025-03-18
기타요식업,파란풍차제과점,신윤섭, 수원시 권선구 하탑로 47 (탑동) 1층,경기도 수원시 권선구 탑동 356-9,37.2692982,126.9768734,031-296-9036,2025-03-18
일식,광명수산 수원역점,김동희, 수원시 팔달구 갓매산로 38 (매산로2가) 1층,경기도 수원시 팔달구 매산로2가 63-4 다성빌딩,37.267879,127.0056539,031-244-8899,2025-03-18
일식,초이스시,최태영," 수원시 팔달구 팔달문로153번길 7 (우만동, 스타맨션) 1층 101호",경기도 수원시 팔달구 우만동 529 스타맨션,37.2831945,127.0324841,031-309-0707,2025-03-18
기타비요식업,펀픽스,우현영, 수원시 장안구 경수대로 965 (송죽동) 1층,경기도 수원시 장안구 송죽동 495-13 명성,37.3038683,127.0049911,0507-1307-3631,2025-03-18
한식,영아네,도정애, 수원시 영통구 중부대로256번길 54 (매탄동),경기도 수원시 영통구 매탄동 194-1,37.2723324,127.0426151,,2025-03-18
한식,오늘은 분식,이현미," 수원시 영통구 권광로260번길 36 (매탄동, 현대힐스테이트아파트) 상가2동 119호",경기도 수원시 영통구 매탄동 176 현대힐스테이트아파트,37.2716966,127.0396241,031-212-3849,2025-03-18
한식,레알떡볶이,서유리, 수원시 영통구 봉영로 1623 (영통동) 1층 133-2호,경기도 수원시 영통구 영통동 958-1 드림피아빌딩,37.2559363,127.0747301,0507-1311-8698,2025-03-18
한식,은하식당,고병철, 수원시 영통구 청명남로50번길 20 (영통동) 1층,경기도 수원시 영통구 영통동 1036-6,37.253154,127.0775614,0507-1338-8487,2025-03-18
한식,24시 전주국밥(콩마루),이홍주, 수원시 영통구 청명남로 46 (영통동) 1층,경기도 수원시 영통구 영통동 1037-3,37.2534424,127.0765376,031-202-3324,2025-03-18
한식,선행분식,도행순, 수원시 영통구 신원로198번길 47-10 (매탄동) 1층,경기도 수원시 영통구 매탄동 510-10,37.2545689,127.0614134,0507-1343-9342,2025-03-18
한식,황보네 분식,황보민철, 수원시 권선구 권광로 89 (권선동) ,경기도 수원시 권선구 권선동 1042-16,37.255871,127.0293626,031-226-0137,2025-03-18
한식,만두촌,김종태, 수원시 권선구 하탑로 39 (탑동) 102호,경기도 수원시 권선구 탑동 845-3,37.2691605,126.9758755,031-295-8798,2025-03-18
일식,감스시,정익래, 수원시 장안구 서부로2123번길 17 (율전동) 1층,경기도 수원시 장안구 율전동 292-7 우신빌딩,37.2982228,126.9702507,031-253-3302,2025-03-18
중식,신화춘,박재범, 수원시 장안구 송원로 83 (조원동) B동 108호,경기도 수원시 장안구 조원동 898-2,37.3024629,127.0095499,031-207-0571,2025-03-18
기타요식업,엘린컴퍼니,홍원진,"수원시 영통구 권선로882번길71-5, 1층 105호(신동)",경기도 수원시 영통구 신동 929-1,37.247306,127.0420022,070-8019-1225,2025-03-18
한식,궁돈보쌈,강선미,수원시 영통구 영통로241번길 12-35(신동),경기도 수원시 영통구 신동 342-5,37.2494296,127.0579011,031-203-9399,2025-03-18
한식,남문건강제분소,서지애,"수원시 팔달구 창룡대로26번길 42-7(남수동, 1층)",경기도 수원시 팔달구 남수동 94,37.2800472,127.0188743,031-241-8002,2025-03-18
기타요식업,사랑이네 베트남쌀국수,김태리,"수원시 장안구 조원로89번길 44-2, 1층(조원동)",경기도 수원시 장안구 조원동 759-5,37.2997124,127.0139834,,2025-03-18
양식,마이미마,손지민,수원시 팔달구 신풍로 48-5(신풍동),경기도 수원시 팔달구 신풍동 24,37.2853149,127.0145007,0507-1479-7751,2025-03-18
한식,고운돈 79냉삼집,김영진,"수원시 영통구 반달로 50, 1층(영통동)",경기도 수원시 영통구 영통동 1014-2,37.249829,127.0772197,031-205-5678/0507-1472-5681,2025-03-18
한식,냉삼집(망포역점),"곽복희, 문병선, 최점순, 김덕원","수원시 영통구 영통로214번길9, 106호(영통동, 서린프라자)",경기도 수원시 영통구 영통동 975-13 서린프라자,37.2465868,127.0576329,031-206-3389,2025-03-18
한식,큰집 멸치국수,최유빈,"수원시 권선구 세권로195번길 26, 1층(권선동)",경기도 수원시 권선구 권선동 1047,37.2564853,127.0262263,031-305-5220,2025-03-18
기타요식업,웨이컬리(wakerley),우예린,"수원시 영통구 매탄로79번길 5-1, 1층 일부호(매탄동)",경기도 수원시 영통구 매탄동 1272-1,37.25809,127.0419888,0507-1378-4820,2025-03-18
목욕업,장안목욕탕,임민자,수원시 장안구 수원천로414번길 5(연무동),경기도 수원시 장안구 연무동 198-72 장안대중목욕탕,37.2897435,127.0197523,031-256-8358,2025-03-18
기타요식업,명랑꽈배기,신경호,"수원시 권선구 하탑로 43, 1층(탑동, 냉동빌딩)",경기도 수원시 권선구 탑동 356-5 냉동빌딩,37.2693078,126.9763773,,2025-03-18
기타비요식업,정든사진관,최진선,수원시 권선구 정조로 452(세류동),경기도 수원시 권선구 세류동 975-11,37.2496831,127.0127496,031-236-6256,2025-03-18
한식,국수명가,이희정,"수원시 권선구 평동로79번길 45, 1층 154호(평동, 수원에스케이브이원모터스)",경기도 수원시 권선구 평동 179 수원 SK V1 motors,37.2598766,126.9927774,031-242-8473,2025-03-18
목욕업,우만목욕탕,"최영일, 김경아",수원시 팔달구 팔달문로 163번길 49(우만동),경기도 수원시 팔달구 우만동 514-5 홍산빌딩,37.2848656,127.0323097,031-258-4627,2025-03-18
목욕업,휴사우나,이현권,"수원시 팔달구 장다리로276, 동부프라자 지하비 101호(인계동)",경기도 수원시 팔달구 인계동 957 동부프라자,37.273969,127.0282237,031-239-8810,2025-03-18
목욕업,원사우나,이윤정,"수원시 팔달구 팔달문로139번길 11-4, 지하1층 B01호(우만동, 한효우만타운아파트)",경기도 수원시 팔달구 우만동 526-12 한효우만타운아파트,37.2832281,127.0307542,031-246-1367,2025-03-18
목욕업,세븐힐여성사우나,이재훈,"수원시 팔달구 중부대로47, 지하1층(지동)",경기도 수원시 팔달구 지동 371 (주)장안유통,37.2757212,127.0220369,031-244-0071,2025-03-18
한식,인성한식부페,김영운,"수원시 팔달구 수성로157번길 49-8, 1층(화서동)",경기도 수원시 팔달구 화서동 676-7,37.2882411,126.9886308,031-268-3351,2025-03-18
