업소명,업종,도로명주소,지번주소,위도,경도,전화번호,기준일자
만두촌,한식, 수원시 권선구 하탑로 39 (탑동) 102호,경기도 수원시 권선구 탑동 845-3,37.2691605,126.9758755,031-295-8798,2025-03-18
감스시,일식, 수원시 장안구 서부로2123번길 17 (율전동) 1층,경기도 수원시 장안구 율전동 292-7 우신빌딩,37.2982228,126.9702507,031-253-3302,2025-03-18
신화춘,중식, 수원시 장안구 송원로 83 (조원동) B동 108호,경기도 수원시 장안구 조원동 898-2,37.3024629,127.0095499,031-207-0571,2025-03-18
엘린컴퍼니,카페/제과,"수원시 영통구 권선로882번길71-5, 1층 105호(신동)",경기도 수원시 영통구 신동 929-1,37.247306,127.0420022,070-8019-1225,2025-03-18
궁돈보쌈,한식,수원시 영통구 영통로241번길 12-35(신동),경기도 수원시 영통구 신동 342-5,37.2494296,127.0579011,031-203-9399,2025-03-18
남문건강제분소,한식,"수원시 팔달구 창룡대로26번길 42-7(남수동, 1층)",경기도 수원시 팔달구 남수동 94,37.2800472,127.0188743,031-241-8002,2025-03-18
사랑이네 베트남쌀국수,외국음식전문점,"수원시 장안구 조원로89번길 44-2, 1층(조원동)",경기도 수원시 장안구 조원동 759-5,37.2997124,127.0139834,,2025-03-18
마이미마,양식,수원시 팔달구 신풍로 48-5(신풍동),경기도 수원시 팔달구 신풍동 24,37.2853149,127.0145007,0507-1479-7751,2025-03-18
고운돈 79냉삼집,한식,"수원시 영통구 반달로 50, 1층(영통동)",경기도 수원시 영통구 영통동 1014-2,37.249829,127.0772197,031-205-5678/0507-1472-5681,2025-03-18
냉삼집(망포역점),한식,"수원시 영통구 영통로214번길9, 106호(영통동, 서린프라자)",경기도 수원시 영통구 영통동 975-13 서린프라자,37.2465868,127.0576329,031-206-3389,2025-03-18
큰집 멸치국수,한식,"수원시 권선구 세권로195번길 26, 1층(권선동)",경기도 수원시 권선구 권선동 1047,37.2564853,127.0262263,031-305-5220,2025-03-18
웨이컬리(wakerley),카페/제과,"수원시 영통구 매탄로79번길 5-1, 1층 일부호(매탄동)",경기도 수원시 영통구 매탄동 1272-1,37.25809,127.0419888,0507-1378-4820,2025-03-18
명랑꽈배기,카페/제과,"수원시 권선구 하탑로 43, 1층(탑동, 냉동빌딩)",경기도 수원시 권선구 탑동 356-5 냉동빌딩,37.2693078,126.9763773,,2025-03-18
국수명가,한식,"수원시 권선구 평동로79번길 45, 1층 154호(평동, 수원에스케이브이원모터스)",경기도 수원시 권선구 평동 179 수원 SK V1 motors,37.2598766,126.9927774,031-242-8473,2025-03-18
인성한식부페,한식,"수원시 팔달구 수성로157번길 49-8, 1층(화서동)",경기도 수원시 팔달구 화서동 676-7,37.2882411,126.9886308,031-268-3351,2025-03-18
(주)김경자소문난대구왕뽈찜,한식,"경기도 수원시 장안구 경수대로973번길 13-17, 2층~4층 (송죽동)",경기도 수원시 장안구 송죽동 495-8 2층~4층 ,37.30333153,127.0052465,031-245-8259,2024-08-27
고궁누룽지백숙,한식,경기도 수원시 장안구 정조로 1094-3 (송죽동),경기도 수원시 장안구 송죽동 455-15 ,37.30280398,127.0024677,031-252-3391,2024-08-27
곤드레밥집,한식,경기도 수원시 장안구 장안로346번길 8 (이목동),경기도 수원시 장안구 이목동 861 ,37.31222037,126.9870324,031-269 -0076,2024-08-27
곤지암소머리국밥,한식,경기도 수원시 장안구 경수대로 1099 (파장동),경기도 수원시 장안구 파장동 575 ,37.31000726,126.9922331,031-247-1066,2024-08-27
골목집설렁탕,한식,경기도 수원시 장안구 팔달로291번길 21-17 (영화동),경기도 수원시 장안구 영화동 160-19 ,37.2910205,127.0147007,031-242-6059,2024-08-27
대박식당,한식,"경기도 수원시 장안구 대평로 80, 1동 126호 (정자동, 정연메이저)",경기도 수원시 장안구 정자동 877-4 정연메이저 1동 126호,37.29553643,126.9936207,031-268-8782,2024-08-27
덕수궁,한식,경기도 수원시 장안구 수일로123번길 115 (송죽동),경기도 수원시 장안구 송죽동 34-5 ,37.3126352,127.0064614,031-252-5789,2024-08-27
돈수백,한식,경기도 수원시 장안구 경수대로 880 (조원동),경기도 수원시 장안구 조원동 762-22 ,37.29908419,127.0128223,031-241-7300,2024-08-27
돼지천하,한식,경기도 수원시 장안구 정조로934번길 36 (영화동),경기도 수원시 장안구 영화동 161-64 ,37.29163655,127.014624,031-255-0173,2024-08-27
등촌샤브칼국수,한식,"경기도 수원시 장안구 대평로90번길 32, 203호 (정자동, 선일주차타운빌딩동)",경기도 수원시 장안구 정자동 875 선일주차타운빌딩동 203호,37.29651473,126.9946399,031-269-2626,2024-08-27
바람난장어,한식,"경기도 수원시 장안구 광교산로 160, 지하1,지상1층 (하광교동)","경기도 수원시 장안구 하광교동 403-1 지하1층, 지상1층 ",37.30154124,127.0318348,031-246-5666,2024-08-27
박은자맛사랑,한식,"경기도 수원시 장안구 대평로90번길 16, 201호 (정자동, 대일프라자)",경기도 수원시 장안구 정자동 876-8 ,37.29632817,126.993724,031-269-5799,2024-08-27
보영만두,분식,경기도 수원시 장안구 화산로233번길 30 (율전동),경기도 수원시 장안구 율전동 292-3 ,37.29844715,126.9705027,031-227-6700,2024-08-27
북경오리구이,한식,"경기도 수원시 장안구 송원로 63 (송죽동, 신성빌딩)",경기도 수원시 장안구 송죽동 506-8 신성빌딩 ,37.30077412,127.0083841,031-242-5292,2024-08-27
북문해물탕,한식,"경기도 수원시 장안구 정조로922번길 27 (영화동,1층)",경기도 수원시 장안구 영화동 160-2 1층 ,37.29080443,127.0146559,031-243-2441,2024-08-27
북수원화로,한식,"경기도 수원시 장안구 천천로 233 (이목동,외6필지)",경기도 수원시 장안구 이목동 403-11 외6필지 ,37.311188,126.9785874,031-269-6566,2024-08-27
사강식당,한식,경기도 수원시 장안구 팔달로 301 (영화동),경기도 수원시 장안구 영화동 169-8 ,37.29126778,127.0171131,031-256-7433,2024-08-27
삼봉집,한식,경기도 수원시 장안구 덕영대로511번길 29-12 (천천동),경기도 수원시 장안구 천천동 507-12 ,37.29955445,126.9800663,031-269-0357,2024-08-27
삼풍가든,한식,경기도 수원시 장안구 서부로 2388 (이목동),경기도 수원시 장안구 이목동 715 ,37.31739781,126.9854649,031-255-0969,2024-08-27
송담추어탕,한식,경기도 수원시 장안구 월드컵로 448 (영화동),경기도 수원시 장안구 영화동 380-2 ,37.29478357,127.0236972,031-247-7091,2024-08-27
송죽부산밀면국밥,한식,"경기도 수원시 장안구 경수대로 914, 2층 (조원동)",경기도 수원시 장안구 조원동 752-25 ,37.30134613,127.0102622,031-248-3999,2024-08-27
송풍가든,한식,경기도 수원시 장안구 경수대로 1013 (송죽동),경기도 수원시 장안구 송죽동 440-3 ,37.30622884,127.0006634,031-252-4700,2024-08-27
수천냉면,한식,경기도 수원시 장안구 덕영대로497번길 8-1 (천천동),경기도 수원시 장안구 천천동 503-1 ,37.29951697,126.9780436,031-269-6868,2024-08-27
시루향기,한식,경기도 수원시 장안구 만석로 198 (송죽동),경기도 수원시 장안구 송죽동 447-15 ,37.30397066,127.0009601,031-257-0035,2024-08-27
신나는대게파티,한식,"경기도 수원시 장안구 경수대로 1051, 가동 1층 (파장동)",경기도 수원시 장안구 파장동 594-11 가동 ,37.30782904,126.9969678,031-256-3433,2024-08-27
신사강식당,한식,경기도 수원시 장안구 정조로1088번길 11 (송죽동),경기도 수원시 장안구 송죽동 456-3 ,37.30271692,127.0032618,,2024-08-27
씨ㆍ후레쉬(Sea Fresh),일식,"경기도 수원시 장안구 금당로 2, 2층 (조원동)",경기도 수원시 장안구 조원동 728-19 2층 ,37.30350016,127.0129414,031-242-2920,2024-08-27
우와돈,한식,"경기도 수원시 장안구 만석로5번길 6, 201호 (천천동, 세화프라자)",경기도 수원시 장안구 천천동 528-1 세화프라자 201호,37.29526261,126.9828483,031-269-1588,2024-08-27
원할머니보쌈족발 박가부대찌개 조원점,한식,경기도 수원시 장안구 송원로 80 (조원동),경기도 수원시 장안구 조원동 752-19 ,37.30177028,127.009844,031-244-5252,2024-08-27
육미옥(조원점),한식,경기도 수원시 장안구 수일로 221 (조원동),경기도 수원시 장안구 조원동 53-1 ,37.30693713,127.0147555,031-255-8040,2024-08-27
장수옻닭,한식,경기도 수원시 장안구 영화로26번길 18 (영화동),경기도 수원시 장안구 영화동 432-2 ,37.28958706,127.0102332,031-245-7876,2024-08-27
제일숯불갈비,한식,경기도 수원시 장안구 연무로 19 (연무동),경기도 수원시 장안구 연무동 238-16 ,37.2937939,127.0288661,031-248-3392,2024-08-27
청담생고기,한식,경기도 수원시 장안구 광교산로 18 (영화동),경기도 수원시 장안구 영화동 44-5 ,37.29347219,127.0209235,031-251-3383,2024-08-27
청대문 곤드레밥,한식,"경기도 수원시 장안구 정자천로 187, 롯데프라자 2층 202호 (정자동)",경기도 수원시 장안구 정자동 874-2 롯데프라자 ,37.29656469,126.9954555,031-245-2921,2024-08-27
추미정 남원추어탕,한식,경기도 수원시 장안구 파장천로 123 (파장동),경기도 수원시 장안구 파장동 343-2 ,37.31494526,127.0014668,031-271-6400,2024-08-27
추오정남원추어탕,한식,경기도 수원시 장안구 천천로 240 (이목동),경기도 수원시 장안구 이목동 404-1 ,37.31194039,126.9787069,031-268-0789,2024-08-27
콩마당,한식,경기도 수원시 장안구 파장천로 92 (파장동),경기도 수원시 장안구 파장동 328-1 ,37.31257933,126.9991119,031-254-2827,2024-08-27
토기장이유황오리,한식,경기도 수원시 장안구 서부로 2178 (천천동),경기도 수원시 장안구 천천동 558-1 ,37.30254856,126.9734738,031-271-1118,2024-08-27
풍미락갈비,한식,"경기도 수원시 장안구 만석로19번길 25-6 (천천동,광장프라자 지층101호)",경기도 수원시 장안구 천천동 527-4 광장프라자 지층101호 ,37.29654758,126.9828678,031-269-0706,2024-08-27
한마당(생고기전문점),한식,경기도 수원시 장안구 장안로75번길 61 (정자동),경기도 수원시 장안구 정자동 75-3 102호,37.28985429,126.9995401,031-246-0288,2024-08-27
할머니네청국장,한식,"경기도 수원시 장안구 광교산로 506, 1층 (상광교동)",경기도 수원시 장안구 상광교동 146-6 ,37.32681722,127.0151618,031-241-4693,2024-08-27
화통집 수원북문점,한식,"경기도 수원시 장안구 팔달로259번길 10 (영화동,월드프라자 104호)",경기도 수원시 장안구 영화동 327-1 월드프라자 104호 ,37.2893041,127.0132889,031-252-9280,2024-08-27
화홍추어탕,한식,경기도 수원시 장안구 송원로41번길 9 (송죽동),경기도 수원시 장안구 송죽동 503-21 ,37.29937582,127.0066651,031-245-3660,2024-08-27
2005진돈가스,양식,경기도 수원시 권선구 세권로316번길 12-16 (권선동),경기도 수원시 권선구 권선동 1287-12 ,37.25166661,127.0370508,031-221-9507,2024-08-27
고반가든서수원점,한식,"경기도 수원시 권선구 일월천로4번길 22 (구운동,외 1필지 2,3층)","경기도 수원시 권선구 구운동 919-4 외 1필지 2,3층 ",37.28207013,126.9734439,031-227-8952,2024-08-27
고색소머리국밥냉면,한식,"경기도 수원시 권선구 고색로 24, 1층 (고색동)",경기도 수원시 권선구 고색동 377-27 ,37.24908016,126.9796862,031-278-2129,2024-08-27
넓은뜰,한식,"경기도 수원시 권선구 세화로 104 (평동,외 1필지)",경기도 수원시 권선구 평동 15-10 외 1필지 ,37.26159103,126.996345,031-296-5292,2024-08-27
놋그릇,한식,경기도 수원시 권선구 당수로 59 (당수동),경기도 수원시 권선구 당수동 693 ,37.27868428,126.9410111,031-296-6111,2024-08-27
달려라소돼지,한식,"경기도 수원시 권선구 정조로 445, 1층 (세류동)",경기도 수원시 권선구 세류동 587-3 ,37.24904432,127.0123465,031-224-7484,2024-08-27
돈까스여행,양식,"경기도 수원시 권선구 서부로 1640, 1,2층 (고색동)","경기도 수원시 권선구 고색동 886-5 1,2층 ",37.25527418,126.9744286,031-297-6655,2024-08-27
등촌샤브칼국수,한식,경기도 수원시 권선구 효원로230번길 10 (권선동),경기도 수원시 권선구 권선동 1011-6 ,37.26238933,127.0265164,031-235-2005,2024-08-27
등촌샤브칼국수,한식,경기도 수원시 권선구 금호로 196 (탑동),경기도 수원시 권선구 탑동 747-3 ,37.27446033,126.9716086,031-298-4101,2024-08-27
마이어스 수원점,한식,"경기도 수원시 권선구 경수대로 270, 터미널동 3층 (권선동)",경기도 수원시 권선구 권선동 1189 터미널동 3층 ,37.25018811,127.0207006,031-267-5500,2024-08-27
마포집손칼국수,한식,경기도 수원시 권선구 서부로 1780-26 (탑동),경기도 수원시 권선구 탑동 431-1 ,37.26752982,126.9732794,031-296-6686,2024-08-27
마포해장뼈다귀,한식,"경기도 수원시 권선구 오목천로 143-1, 1,2층 (고색동)",경기도 수원시 권선구 고색동 485-2 ,37.24490121,126.9758736,,2024-08-27
명금애한상차림,한식,경기도 수원시 권선구 권선로 643 (권선동),경기도 수원시 권선구 권선동 963-6 ,37.26075209,127.0218638,031-226-3578,2024-08-27
미락,한식,경기도 수원시 권선구 경수대로338번길 20 (권선동),경기도 수원시 권선구 권선동 1057-5 ,37.25626099,127.0234819,031-237-0204,2024-08-27
병만네닭갈비,한식,"경기도 수원시 권선구 금호로 196 (탑동,2층)",경기도 수원시 권선구 탑동 747-5 ,37.27446033,126.9716086,031-296-0280,2024-08-27
북경오리구이,한식,"경기도 수원시 권선구 장다리로 131, 그랜드스위트 1층 101, 102, 103, 104, 105호 (권선동)",경기도 수원시 권선구 권선동 957 ,37.26197431,127.0225735,031-236-5292,2024-08-27
불타는안창살,한식,"경기도 수원시 권선구 정조로482번길 2, 1층 (세류동)",경기도 수원시 권선구 세류동 993-18 1층 ,37.25213595,127.0117553,031-213-0413,2024-08-27
샤브채,한식,경기도 수원시 권선구 세권로316번길 12-14 (권선동),경기도 수원시 권선구 권선동 1287-11 ,37.25163521,127.0372045,031-235-0166,2024-08-27
석산정,한식,경기도 수원시 권선구 정조로388번길 7-7 (세류동),경기도 수원시 권선구 세류동 1146-33 ,37.24465484,127.0149841,031-232-5589,2024-08-27
송가네,한식,경기도 수원시 권선구 탑동로11번길 6-1 (탑동),경기도 수원시 권선구 탑동 837-3 ,37.27000534,126.9745171,031-296-6670,2024-08-27
송담추어탕,한식,"경기도 수원시 권선구 구운로86번길 23 (구운동,2층)",경기도 수원시 권선구 구운동 476-7 2층 ,37.28070351,126.9742373,031-247-7091,2024-08-27
송이낙지마당,한식,경기도 수원시 권선구 하탑로 7 (탑동),경기도 수원시 권선구 탑동 818-4 ,37.26861385,126.9724419,031-291-8488,2024-08-27
송탄참작부대찌개,한식,경기도 수원시 권선구 동수원로146번길 201 (곡반정동),경기도 수원시 권선구 곡반정동 532-4 ,37.24186938,127.0330656,031-251-9291,2024-08-27
양촌리,한식,"경기도 수원시 권선구 권선로 724 (권선동,1,2층)","경기도 수원시 권선구 권선동 1026-6 1,2층 ",37.25801965,127.0301883,031-235-9254,2024-08-27
오정설렁탕(수원본점),한식,"경기도 수원시 권선구 호매실로 21-26, 1층 (고색동)",경기도 수원시 권선구 고색동 1184 ,37.25470792,126.9725987,031-227-3188,2024-08-27
